crew_id,name,role,aircraft_type,base_airport,current_airport,duty_hours,rest_hours,status
C00001,Daniel Lee,CABIN_CREW,A350,MEL,NRT,9.9,14.1,AVAILABLE
C00002,Steven Medina,CABIN_CREW,A350,AMS,DOH,7.0,12.4,AVAILABLE
C00003,Annette Lewis,FIRST_OFFICER,A320,LHR,AMS,4.6,9.3,AVAILABLE
C00004,Michelle Richardson,CABIN_CREW,A350,DEL,DOH,2.2,14.0,ON_DUTY
C00005,Jessica Rosario,CAPTAIN,A321,LAX,BOM,6.8,15.9,AVAILABLE
C00006,Henry Gray,CABIN_CREW,B787,SIN,LHR,1.0,15.8,AVAILABLE
C00007,Darren Rodriguez,CAPTAIN,A320,IST,LAX,4.3,9.2,ON_DUTY
C00008,Mrs. Ashley Taylor,FIRST_OFFICER,A380,FRA,SYD,4.9,13.5,RESTING
C00009,Michele Hawkins,CABIN_CREW,B787,JFK,BKK,8.6,13.2,AVAILABLE
C00010,Garrett Wilson,CABIN_CREW,A350,DXB,BOM,1.2,9.0,ON_DUTY
C00011,Kyle Collins,CABIN_CREW,B777,DXB,LAX,5.7,12.6,AVAILABLE
C00012,Jill Spencer,CABIN_CREW,A320,SIN,SYD,4.8,13.2,AVAILABLE
C00013,Scott Lopez,CABIN_CREW,A380,IST,JFK,7.1,14.9,AVAILABLE
C00014,Ryan Alvarez,CABIN_CREW,A321,DXB,SYD,5.6,12.3,ON_DUTY
C00015,Cassie Lutz,CABIN_CREW,A320,LAX,ORD,7.1,14.3,AVAILABLE
C00016,Brian Kim DDS,CABIN_CREW,A321,BOM,SIN,8.6,13.6,AVAILABLE
C00017,Charles Morales,CABIN_CREW,A350,BOM,LHR,1.3,9.6,AVAILABLE
C00018,Ashley Schaefer,CABIN_CREW,A380,JFK,BOM,5.1,10.9,AVAILABLE
C00019,Amy Hester,CABIN_CREW,A321,DXB,FRA,3.0,15.6,AVAILABLE
C00020,Kurt Ewing,CABIN_CREW,A321,ORD,BKK,1.4,11.9,AVAILABLE
C00021,Ryan Hardy,CABIN_CREW,A350,SFO,ORD,5.1,13.5,ON_DUTY
C00022,Micheal Perkins,CAPTAIN,A380,DOH,DEL,3.0,14.7,RESTING
C00023,Richard Schneider,CABIN_CREW,B777,LAX,HKG,2.8,13.8,AVAILABLE
C00024,John Morrison,CABIN_CREW,A350,SYD,SIN,4.0,8.7,AVAILABLE
C00025,John Ramirez,CABIN_CREW,A321,DEL,ORD,2.0,13.0,AVAILABLE
C00026,Ashley King,CABIN_CREW,A321,DOH,HKG,5.6,13.2,AVAILABLE
C00027,Mark Taylor Jr.,FIRST_OFFICER,B777,IST,MEL,3.8,15.7,AVAILABLE
C00028,Barry Gregory,FIRST_OFFICER,A320,BOM,ORD,4.1,10.6,AVAILABLE
C00029,Janet Shelton,CABIN_CREW,A350,DEL,FRA,2.7,8.8,RESTING
C00030,Marco Davis,FIRST_OFFICER,A380,BOM,SIN,5.3,15.0,AVAILABLE
C00031,Paul Saunders,CABIN_CREW,A380,ICN,HKG,7.0,14.9,AVAILABLE
C00032,Christina Bates,CABIN_CREW,A380,SIN,IST,9.5,11.1,AVAILABLE
C00033,Dennis Cooper PhD,CABIN_CREW,A320,ORD,SFO,8.8,11.2,AVAILABLE
C00034,Tiffany Johnson,FIRST_OFFICER,A321,ICN,DEL,6.6,9.1,AVAILABLE
C00035,Thomas Reyes,FIRST_OFFICER,A321,HKG,FRA,6.8,11.3,AVAILABLE
C00036,James Stevens,CABIN_CREW,A350,BKK,ICN,2.9,15.6,AVAILABLE
C00037,Justin Dalton,CABIN_CREW,B777,AMS,JFK,9.5,11.3,AVAILABLE
C00038,Michael Henry,CAPTAIN,A380,JFK,FRA,9.4,9.3,AVAILABLE
C00039,Mike Freeman,CABIN_CREW,A320,NRT,DXB,9.6,11.4,AVAILABLE
