passenger_id,name,flight_id,origin,destination,passenger_type,cabin,fare_class,special_assistance,priority_level,status
P00001,Allison Hill,FL0001,NRT,BKK,CONNECTING,Economy,Y,True,NORMAL,ACTIVE
P00002,Noah Rhodes,FL0001,NRT,BKK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00003,Angie Henderson,FL0001,NRT,BKK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00004,Daniel Wagner,FL0001,NRT,BKK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00005,Cristian Santos,FL0001,NRT,BKK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00006,Connie Lawrence,FL0001,NRT,BKK,CONNECTING,Economy,Y,False,HIGH,ACTIVE
P00007,Abigail Shaffer,FL0001,NRT,BKK,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00008,Gina Moore,FL0001,NRT,BKK,CONNECTING,Business,J,True,HIGH,ACTIVE
P00009,Gabrielle Davis,FL0001,NRT,BKK,CONNECTING,Economy,Y,False,NORMAL,ACTIVE
P00010,Ryan Munoz,FL0001,NRT,BKK,CONNECTING,Economy,B,True,NORMAL,ACTIVE
P00011,Monica Herrera,FL0001,NRT,BKK,CONNECTING,Economy,B,False,NORMAL,ACTIVE
P00012,Jamie Arnold,FL0001,NRT,BKK,CONNECTING,Business,J,False,NORMAL,ACTIVE
P00013,Lisa Hensley,FL0001,NRT,BKK,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00014,Michele Williams,FL0001,NRT,SIN,DIRECT,Business,C,False,NORMAL,ACTIVE
P00015,Dylan Miller,FL0001,NRT,SIN,DIRECT,Economy,M,False,HIGH,ACTIVE
P00016,Brian Ramirez,FL0001,NRT,SIN,DIRECT,Business,C,False,NORMAL,ACTIVE
P00017,Holly Wood,FL0001,NRT,SIN,DIRECT,Business,C,False,NORMAL,ACTIVE
P00018,Derek Zuniga,FL0001,NRT,SIN,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00019,Lisa Jackson,FL0001,NRT,SIN,DIRECT,Economy,M,False,HIGH,ACTIVE
P00020,Carla Gray,FL0001,NRT,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00021,Margaret Hawkins DDS,FL0001,NRT,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00022,Patty Perez,FL0001,NRT,SIN,DIRECT,Economy,M,False,NORMAL,ACTIVE
P00023,Ethan Adams,FL0001,NRT,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00024,Tommy Walter,FL0001,NRT,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00025,Matthew Foster,FL0001,NRT,SIN,DIRECT,Economy,Y,False,NORMAL,ACTIVE
P00026,Judy Baker,FL0444,AMS,LHR,DIRECT,Business,J,False,NORMAL,ACTIVE
P00027,Justin Baker,FL1730,JFK,SFO,DIRECT,Economy,B,False,HIGH,ACTIVE
P00028,Stephanie Ross,FL2809,NRT,LAX,DIRECT,Economy,Y,False,HIGH,ACTIVE
P00029,Zachary Hicks,FL1710,DXB,FRA,CONNECTING,Economy,M,False,NORMAL,ACTIVE
P00030,Anthony Rodriguez,FL1364,CDG,JFK,DIRECT,First,F,False,NORMAL,ACTIVE
P00031,Rebecca Henderson,FL0875,DXB,SIN,DIRECT,Economy,B,False,NORMAL,ACTIVE
P00032,James Ferrell,FL0237,LHR,CDG,CONNECTING,First,F,False,NORMAL,ACTIVE
